"variable" "ht.code" "age_adult" "count_n_" "n_denom" "rate_strat" "year" "aggr_level"
"prevalence" 1 "18+" 3595 4193923 85.7192657089794 2004 "age"
"prevalence" 2 "18+" 2714 4193923 64.7126807049152 2004 "age"
"prevalence" 3 "18+" 1686 4193923 40.2010241962001 2004 "age"
"prevalence" 4 "18+" 7995 4193923 190.632970610095 2004 "age"
"prevalence" 1 "<18" 4739 1133173 418.206222703859 2004 "age"
"prevalence" 2 "<18" 1768 1133173 156.022072534379 2004 "age"
"prevalence" 3 "<18" 1588 1133173 140.137472389476 2004 "age"
"prevalence" 4 "<18" 8095 1133173 714.365767627714 2004 "age"
"incidence" 1 "18+" NA 4193923 NA 2004 "age"
"incidence" 2 "18+" NA 4193923 NA 2004 "age"
"incidence" 3 "18+" NA 4193923 NA 2004 "age"
"incidence" 4 "18+" 12 4193923 0.286128286093951 2004 "age"
"incidence" 1 "<18" 385 1133173 33.9753947543755 2004 "age"
"incidence" 2 "<18" 111 1133173 9.79550342269009 2004 "age"
"incidence" 3 "<18" 119 1133173 10.5014856513524 2004 "age"
"incidence" 4 "<18" 615 1133173 54.2723838284181 2004 "age"
"opr" 1 "18+" 60 4193923 1.43064143046975 2004 "age"
"opr" 2 "18+" 76 4193923 1.81214581192835 2004 "age"
"opr" 3 "18+" 92 4193923 2.19365019338696 2004 "age"
"opr" 4 "18+" 228 4193923 5.43643743578506 2004 "age"
"opr" 1 "<18" 104 1133173 9.17776897261054 2004 "age"
"opr" 2 "<18" 65 1133173 5.73610560788159 2004 "age"
"opr" 3 "<18" 251 1133173 22.1501924242812 2004 "age"
"opr" 4 "<18" 420 1133173 37.0640670047733 2004 "age"
"opr_patients" 1 "18+" 58 4193923 1.38295338278743 2004 "age"
"opr_patients" 2 "18+" 69 4193923 1.64523764504022 2004 "age"
"opr_patients" 3 "18+" 75 4193923 1.78830178808719 2004 "age"
"opr_patients" 4 "18+" 202 4193923 4.81649281591484 2004 "age"
"opr_patients" 1 "<18" 103 1133173 9.08952119402774 2004 "age"
"opr_patients" 2 "<18" 58 1133173 5.11837115780203 2004 "age"
"opr_patients" 3 "<18" 207 1133173 18.2672901666383 2004 "age"
"opr_patients" 4 "<18" 368 1133173 32.4751825184681 2004 "age"
"prevalence" 1 "18+" 3841 4202033 91.4081350622425 2005 "age"
"prevalence" 2 "18+" 2783 4202033 66.2298463624631 2005 "age"
"prevalence" 3 "18+" 1769 4202033 42.0986698581377 2005 "age"
"prevalence" 4 "18+" 8393 4202033 199.736651282843 2005 "age"
"prevalence" 1 "<18" 4907 1139820 430.506571212999 2005 "age"
"prevalence" 2 "<18" 1803 1139820 158.182870979628 2005 "age"
"prevalence" 3 "<18" 1645 1139820 144.321033145584 2005 "age"
"prevalence" 4 "<18" 8355 1139820 733.010475338211 2005 "age"
"incidence" 1 "18+" 10 4202033 0.237980044421355 2005 "age"
"incidence" 2 "18+" 11 4202033 0.261778048863491 2005 "age"
"incidence" 3 "18+" NA 4202033 NA 2005 "age"
"incidence" 4 "18+" 27 4202033 0.642546119937659 2005 "age"
"incidence" 1 "<18" 366 1139820 32.1103332105069 2005 "age"
"incidence" 2 "<18" 130 1139820 11.4053096102893 2005 "age"
"incidence" 3 "<18" 123 1139820 10.7911775543507 2005 "age"
"incidence" 4 "<18" 619 1139820 54.306820375147 2005 "age"
"opr" 1 "18+" 54 4202033 1.28509223987532 2005 "age"
"opr" 2 "18+" 46 4202033 1.09470820433823 2005 "age"
"opr" 3 "18+" 74 4202033 1.76105232871803 2005 "age"
"opr" 4 "18+" 174 4202033 4.14085277293158 2005 "age"
"opr" 1 "<18" 79 1139820 6.93091891702199 2005 "age"
"opr" 2 "<18" 85 1139820 7.45731782211226 2005 "age"
"opr" 3 "<18" 177 1139820 15.5287677001632 2005 "age"
"opr" 4 "<18" 341 1139820 29.9170044392974 2005 "age"
"opr_patients" 1 "18+" 53 4202033 1.26129423543318 2005 "age"
"opr_patients" 2 "18+" 44 4202033 1.04711219545396 2005 "age"
"opr_patients" 3 "18+" 51 4202033 1.21369822654891 2005 "age"
"opr_patients" 4 "18+" 148 4202033 3.52210465743606 2005 "age"
"opr_patients" 1 "<18" 76 1139820 6.66771946447685 2005 "age"
"opr_patients" 2 "<18" 76 1139820 6.66771946447685 2005 "age"
"opr_patients" 3 "<18" 149 1139820 13.0722394764086 2005 "age"
"opr_patients" 4 "<18" 301 1139820 26.4076784053623 2005 "age"
"prevalence" 1 "18+" 4081 4213572 96.8536908827 2006 "age"
"prevalence" 2 "18+" 2867 4213572 68.0420317963002 2006 "age"
"prevalence" 3 "18+" 1859 4213572 44.1193362781032 2006 "age"
"prevalence" 4 "18+" 8807 4213572 209.015058957103 2006 "age"
"prevalence" 1 "<18" 5044 1145238 440.432469058833 2006 "age"
"prevalence" 2 "<18" 1860 1145238 162.411655917809 2006 "age"
"prevalence" 3 "<18" 1680 1145238 146.694398893505 2006 "age"
"prevalence" 4 "<18" 8584 1145238 749.538523870148 2006 "age"
"incidence" 1 "18+" NA 4213572 NA 2006 "age"
"incidence" 2 "18+" 12 4213572 0.284793994264249 2006 "age"
"incidence" 3 "18+" NA 4213572 NA 2006 "age"
"incidence" 4 "18+" 23 4213572 0.545855155673144 2006 "age"
"incidence" 1 "<18" 363 1145238 31.6964683323466 2006 "age"
"incidence" 2 "<18" 127 1145238 11.0893980115924 2006 "age"
"incidence" 3 "<18" 97 1145238 8.46985517420833 2006 "age"
"incidence" 4 "<18" 587 1145238 51.2557215181473 2006 "age"
"opr" 1 "18+" 69 4213572 1.63756546701943 2006 "age"
"opr" 2 "18+" 69 4213572 1.63756546701943 2006 "age"
"opr" 3 "18+" 64 4213572 1.51890130274266 2006 "age"
"opr" 4 "18+" 202 4213572 4.79403223678152 2006 "age"
"opr" 1 "<18" 85 1145238 7.42203803925472 2006 "age"
"opr" 2 "<18" 68 1145238 5.93763043140378 2006 "age"
"opr" 3 "<18" 184 1145238 16.066529402622 2006 "age"
"opr" 4 "<18" 337 1145238 29.4261978732805 2006 "age"
"opr_patients" 1 "18+" 67 4213572 1.59009980130872 2006 "age"
