"variable" "sex" "age_group" "ht.code" "count_n_" "year" "n_denom" "rate_strat" "aggr_level"
"prevalence" "f" "0-1" 1 199 2004 31384 634.081060412949 "age_group"
"prevalence" "f" "0-1" 2 66 2004 31384 210.298241141983 "age_group"
"prevalence" "f" "0-1" 3 36 2004 31384 114.708131531991 "age_group"
"prevalence" "f" "0-1" 4 301 2004 31384 959.087433086923 "age_group"
"prevalence" "f" "2-3" 1 424 2004 65238 649.927956099206 "age_group"
"prevalence" "f" "2-3" 2 160 2004 65238 245.255832490266 "age_group"
"prevalence" "f" "2-3" 3 96 2004 65238 147.15349949416 "age_group"
"prevalence" "f" "2-3" 4 680 2004 65238 1042.33728808363 "age_group"
"prevalence" "f" "4-5" 1 417 2004 65641 635.273685653783 "age_group"
"prevalence" "f" "4-5" 2 159 2004 65641 242.226657119788 "age_group"
"prevalence" "f" "4-5" 3 95 2004 65641 144.726619033836 "age_group"
"prevalence" "f" "4-5" 4 671 2004 65641 1022.22696180741 "age_group"
"prevalence" "f" "6-7" 1 415 2004 66997 619.430720778542 "age_group"
"prevalence" "f" "6-7" 2 215 2004 66997 320.909891487679 "age_group"
"prevalence" "f" "6-7" 3 108 2004 66997 161.201247817066 "age_group"
"prevalence" "f" "6-7" 4 738 2004 66997 1101.54186008329 "age_group"
"prevalence" "f" "8-9" 1 414 2004 70033 591.149886482087 "age_group"
"prevalence" "f" "8-9" 2 258 2004 70033 368.397755343909 "age_group"
"prevalence" "f" "8-9" 3 98 2004 70033 139.934031099624 "age_group"
"prevalence" "f" "8-9" 4 770 2004 70033 1099.48167292562 "age_group"
"prevalence" "f" "10-11" 1 415 2004 67892 611.264950215047 "age_group"
"prevalence" "f" "10-11" 2 213 2004 67892 313.733576857362 "age_group"
"prevalence" "f" "10-11" 3 106 2004 67892 156.130324633241 "age_group"
"prevalence" "f" "10-11" 4 734 2004 67892 1081.12885170565 "age_group"
"prevalence" "f" "12-13" 1 311 2004 65245 476.664878534754 "age_group"
"prevalence" "f" "12-13" 2 182 2004 65245 278.948578435129 "age_group"
"prevalence" "f" "12-13" 3 83 2004 65245 127.212813242394 "age_group"
"prevalence" "f" "12-13" 4 576 2004 65245 882.826270212277 "age_group"
"prevalence" "f" "14-15" 1 246 2004 61577 399.499813241957 "age_group"
"prevalence" "f" "14-15" 2 124 2004 61577 201.373889601637 "age_group"
"prevalence" "f" "14-15" 3 68 2004 61577 110.430842684769 "age_group"
"prevalence" "f" "14-15" 4 438 2004 61577 711.304545528363 "age_group"
"prevalence" "f" "16-17" 1 222 2004 57883 383.532297911304 "age_group"
"prevalence" "f" "16-17" 2 91 2004 57883 157.213689684363 "age_group"
"prevalence" "f" "16-17" 3 68 2004 57883 117.478361522381 "age_group"
"prevalence" "f" "16-17" 4 381 2004 57883 658.224349118049 "age_group"
"prevalence" "f" "18+" 1 1844 2004 2141318 86.1151870016504 "age_group"
"prevalence" "f" "18+" 2 1235 2004 2141318 57.6747591903678 "age_group"
"prevalence" "f" "18+" 3 685 2004 2141318 31.9896437614591 "age_group"
"prevalence" "f" "18+" 4 3764 2004 2141318 175.779589953477 "age_group"
"prevalence" "m" "0-1" 1 185 2004 33128 558.439990340497 "age_group"
"prevalence" "m" "0-1" 2 74 2004 33128 223.375996136199 "age_group"
"prevalence" "m" "0-1" 3 58 2004 33128 175.078483458102 "age_group"
"prevalence" "m" "0-1" 4 317 2004 33128 956.894469934798 "age_group"
"prevalence" "m" "2-3" 1 344 2004 68175 504.583791712505 "age_group"
"prevalence" "m" "2-3" 2 174 2004 68175 255.225522552255 "age_group"
"prevalence" "m" "2-3" 3 130 2004 68175 190.685735240191 "age_group"
"prevalence" "m" "2-3" 4 648 2004 68175 950.49504950495 "age_group"
"prevalence" "m" "4-5" 1 335 2004 68740 487.343613616526 "age_group"
"prevalence" "m" "4-5" 2 223 2004 68740 324.410823392493 "age_group"
"prevalence" "m" "4-5" 3 93 2004 68740 135.29240616817 "age_group"
"prevalence" "m" "4-5" 4 651 2004 68740 947.046843177189 "age_group"
"prevalence" "m" "6-7" 1 413 2004 70699 584.166678453726 "age_group"
"prevalence" "m" "6-7" 2 255 2004 70699 360.684026648185 "age_group"
"prevalence" "m" "6-7" 3 134 2004 70699 189.535919885713 "age_group"
"prevalence" "m" "6-7" 4 802 2004 70699 1134.38662498762 "age_group"
"prevalence" "m" "8-9" 1 377 2004 73692 511.588774900939 "age_group"
"prevalence" "m" "8-9" 2 277 2004 73692 375.888834608913 "age_group"
"prevalence" "m" "8-9" 3 106 2004 73692 143.841936709548 "age_group"
"prevalence" "m" "8-9" 4 760 2004 73692 1031.3195462194 "age_group"
"prevalence" "m" "10-11" 1 351 2004 71670 489.744663038928 "age_group"
"prevalence" "m" "10-11" 2 244 2004 71670 340.449281428771 "age_group"
"prevalence" "m" "10-11" 3 105 2004 71670 146.504813729594 "age_group"
"prevalence" "m" "10-11" 4 700 2004 71670 976.698758197293 "age_group"
"prevalence" "m" "12-13" 1 259 2004 68781 376.5574795365 "age_group"
"prevalence" "m" "12-13" 2 221 2004 68781 321.309664006048 "age_group"
"prevalence" "m" "12-13" 3 109 2004 68781 158.473997179454 "age_group"
"prevalence" "m" "12-13" 4 589 2004 68781 856.341140722002 "age_group"
"prevalence" "m" "14-15" 1 271 2004 65097 416.301826505062 "age_group"
"prevalence" "m" "14-15" 2 165 2004 65097 253.467901746624 "age_group"
"prevalence" "m" "14-15" 3 100 2004 65097 153.616910149469 "age_group"
"prevalence" "m" "14-15" 4 536 2004 65097 823.386638401155 "age_group"
"prevalence" "m" "16-17" 1 203 2004 61301 331.152836005938 "age_group"
"prevalence" "m" "16-17" 2 107 2004 61301 174.548539175544 "age_group"
"prevalence" "m" "16-17" 3 64 2004 61301 104.402864553596 "age_group"
"prevalence" "m" "16-17" 4 374 2004 61301 610.104239735078 "age_group"
"prevalence" "m" "18+" 1 1452 2004 2052605 70.7393775227089 "age_group"
"prevalence" "m" "18+" 2 1247 2004 2052605 60.7520687126846 "age_group"
"prevalence" "m" "18+" 3 745 2004 2052605 36.2953417730153 "age_group"
"prevalence" "m" "18+" 4 3444 2004 2052605 167.786788008409 "age_group"
"incidence" "f" "0-1" 1 249 2004 31384 793.397909762937 "age_group"
"incidence" "f" "0-1" 2 72 2004 31384 229.416263063982 "age_group"
"incidence" "f" "0-1" 3 58 2004 31384 184.807545245985 "age_group"
"incidence" "f" "0-1" 4 379 2004 31384 1207.6217180729 "age_group"
"incidence" "f" "2-3" 1 18 2004 65238 27.591281155155 "age_group"
"incidence" "f" "2-3" 2 11 2004 65238 16.8613384837058 "age_group"
"incidence" "f" "2-3" 3 NA 2004 65238 NA "age_group"
"incidence" "f" "2-3" 4 30 2004 65238 45.9854685919249 "age_group"
"incidence" "f" "4-5" 1 NA 2004 65641 NA "age_group"
"incidence" "f" "4-5" 2 NA 2004 65641 NA "age_group"
"incidence" "f" "4-5" 3 NA 2004 65641 NA "age_group"
"incidence" "f" "4-5" 4 11 2004 65641 16.7578190460231 "age_group"
"incidence" "f" "6-7" 1 NA 2004 66997 NA "age_group"
"incidence" "f" "6-7" 2 NA 2004 66997 NA "age_group"
"incidence" "f" "6-7" 3 NA 2004 66997 NA "age_group"
"incidence" "f" "6-7" 4 NA 2004 66997 NA "age_group"
"incidence" "f" "8-9" 1 NA 2004 70033 NA "age_group"
"incidence" "f" "8-9" 2 NA 2004 70033 NA "age_group"
"incidence" "f" "8-9" 3 NA 2004 70033 NA "age_group"
"incidence" "f" "8-9" 4 NA 2004 70033 NA "age_group"
"incidence" "f" "10-11" 1 NA 2004 67892 NA "age_group"
"incidence" "f" "10-11" 2 NA 2004 67892 NA "age_group"
"incidence" "f" "10-11" 3 NA 2004 67892 NA "age_group"
"incidence" "f" "10-11" 4 15 2004 67892 22.0939138631945 "age_group"
"incidence" "f" "12-13" 1 NA 2004 65245 NA "age_group"
"incidence" "f" "12-13" 2 NA 2004 65245 NA "age_group"
"incidence" "f" "12-13" 3 NA 2004 65245 NA "age_group"
"incidence" "f" "12-13" 4 12 2004 65245 18.3922139627558 "age_group"
"incidence" "f" "14-15" 1 NA 2004 61577 NA "age_group"
"incidence" "f" "14-15" 2 NA 2004 61577 NA "age_group"
"incidence" "f" "14-15" 3 NA 2004 61577 NA "age_group"
"incidence" "f" "14-15" 4 NA 2004 61577 NA "age_group"
"incidence" "f" "16-17" 1 NA 2004 57883 NA "age_group"
"incidence" "f" "16-17" 2 NA 2004 57883 NA "age_group"
"incidence" "f" "16-17" 3 NA 2004 57883 NA "age_group"
"incidence" "f" "16-17" 4 NA 2004 57883 NA "age_group"
"incidence" "f" "18+" 1 NA 2004 2141318 NA "age_group"
"incidence" "f" "18+" 2 NA 2004 2141318 NA "age_group"
"incidence" "f" "18+" 3 NA 2004 2141318 NA "age_group"
"incidence" "f" "18+" 4 18 2004 2141318 0.840603777673377 "age_group"
"incidence" "m" "0-1" 1 216 2004 33128 652.01642115431 "age_group"
"incidence" "m" "0-1" 2 77 2004 33128 232.431779763342 "age_group"
"incidence" "m" "0-1" 3 59 2004 33128 178.097078000483 "age_group"
"incidence" "m" "0-1" 4 352 2004 33128 1062.54527891814 "age_group"
"incidence" "m" "2-3" 1 NA 2004 68175 NA "age_group"
"incidence" "m" "2-3" 2 10 2004 68175 14.6681334800147 "age_group"
"incidence" "m" "2-3" 3 NA 2004 68175 NA "age_group"
"incidence" "m" "2-3" 4 21 2004 68175 30.8030803080308 "age_group"
"incidence" "m" "4-5" 1 NA 2004 68740 NA "age_group"
"incidence" "m" "4-5" 2 NA 2004 68740 NA "age_group"
"incidence" "m" "4-5" 3 NA 2004 68740 NA "age_group"
"incidence" "m" "4-5" 4 13 2004 68740 18.9118417224324 "age_group"
"incidence" "m" "6-7" 1 NA 2004 70699 NA "age_group"
"incidence" "m" "6-7" 2 NA 2004 70699 NA "age_group"
"incidence" "m" "6-7" 3 NA 2004 70699 NA "age_group"
"incidence" "m" "6-7" 4 10 2004 70699 14.1444716332621 "age_group"
"incidence" "m" "8-9" 1 NA 2004 73692 NA "age_group"
"incidence" "m" "8-9" 2 NA 2004 73692 NA "age_group"
"incidence" "m" "8-9" 3 NA 2004 73692 NA "age_group"
"incidence" "m" "8-9" 4 11 2004 73692 14.9269934321229 "age_group"
"incidence" "m" "10-11" 1 NA 2004 71670 NA "age_group"
"incidence" "m" "10-11" 2 NA 2004 71670 NA "age_group"
"incidence" "m" "10-11" 3 NA 2004 71670 NA "age_group"
"incidence" "m" "10-11" 4 NA 2004 71670 NA "age_group"
"incidence" "m" "12-13" 1 NA 2004 68781 NA "age_group"
"incidence" "m" "12-13" 2 NA 2004 68781 NA "age_group"
"incidence" "m" "12-13" 3 NA 2004 68781 NA "age_group"
"incidence" "m" "12-13" 4 NA 2004 68781 NA "age_group"
"incidence" "m" "14-15" 1 NA 2004 65097 NA "age_group"
"incidence" "m" "14-15" 2 NA 2004 65097 NA "age_group"
"incidence" "m" "14-15" 3 NA 2004 65097 NA "age_group"
"incidence" "m" "14-15" 4 NA 2004 65097 NA "age_group"
"incidence" "m" "16-17" 1 NA 2004 61301 NA "age_group"
"incidence" "m" "16-17" 2 NA 2004 61301 NA "age_group"
"incidence" "m" "16-17" 3 NA 2004 61301 NA "age_group"
"incidence" "m" "16-17" 4 NA 2004 61301 NA "age_group"
"incidence" "m" "18+" 1 NA 2004 2052605 NA "age_group"
"incidence" "m" "18+" 2 NA 2004 2052605 NA "age_group"
"incidence" "m" "18+" 3 NA 2004 2052605 NA "age_group"
"incidence" "m" "18+" 4 NA 2004 2052605 NA "age_group"
"prevalence" "f" "0-1" 1 215 2005 31705 678.126478473427 "age_group"
"prevalence" "f" "0-1" 2 62 2005 31705 195.552751931872 "age_group"
"prevalence" "f" "0-1" 3 40 2005 31705 126.163065762498 "age_group"
"prevalence" "f" "0-1" 4 317 2005 31705 999.842296167797 "age_group"
"prevalence" "f" "2-3" 1 407 2005 63614 639.796271261043 "age_group"
"prevalence" "f" "2-3" 2 154 2005 63614 242.085075612287 "age_group"
"prevalence" "f" "2-3" 3 94 2005 63614 147.766214984123 "age_group"
"prevalence" "f" "2-3" 4 655 2005 63614 1029.64756185745 "age_group"
"prevalence" "f" "4-5" 1 455 2005 65864 690.817442001701 "age_group"
"prevalence" "f" "4-5" 2 154 2005 65864 233.81513421596 "age_group"
"prevalence" "f" "4-5" 3 90 2005 65864 136.645208308029 "age_group"
"prevalence" "f" "4-5" 4 699 2005 65864 1061.27778452569 "age_group"
"prevalence" "f" "6-7" 1 413 2005 66182 624.036747151794 "age_group"
"prevalence" "f" "6-7" 2 201 2005 66182 303.707956846272 "age_group"
"prevalence" "f" "6-7" 3 114 2005 66182 172.252274032214 "age_group"
"prevalence" "f" "6-7" 4 728 2005 66182 1099.99697803028 "age_group"
"prevalence" "f" "8-9" 1 419 2005 68520 611.500291885581 "age_group"
"prevalence" "f" "8-9" 2 241 2005 68520 351.722124927029 "age_group"
"prevalence" "f" "8-9" 3 98 2005 68520 143.02393461763 "age_group"
"prevalence" "f" "8-9" 4 758 2005 68520 1106.24635143024 "age_group"
"prevalence" "f" "10-11" 1 416 2005 69106 601.973779411339 "age_group"
"prevalence" "f" "10-11" 2 250 2005 69106 361.763088588545 "age_group"
"prevalence" "f" "10-11" 3 107 2005 69106 154.834601915897 "age_group"
"prevalence" "f" "10-11" 4 773 2005 69106 1118.57146991578 "age_group"
"prevalence" "f" "12-13" 1 374 2005 66861 559.369438087974 "age_group"
"prevalence" "f" "12-13" 2 218 2005 66861 326.049565516519 "age_group"
"prevalence" "f" "12-13" 3 86 2005 66861 128.625057956058 "age_group"
"prevalence" "f" "12-13" 4 678 2005 66861 1014.04406156055 "age_group"
"prevalence" "f" "14-15" 1 273 2005 64026 426.389279355262 "age_group"
"prevalence" "f" "14-15" 2 148 2005 64026 231.156092837285 "age_group"
"prevalence" "f" "14-15" 3 76 2005 64026 118.70177740293 "age_group"
"prevalence" "f" "14-15" 4 497 2005 64026 776.247149595477 "age_group"
"prevalence" "f" "16-17" 1 246 2005 59427 413.953253571609 "age_group"
"prevalence" "f" "16-17" 2 107 2005 59427 180.052837935618 "age_group"
"prevalence" "f" "16-17" 3 79 2005 59427 132.936207447793 "age_group"
"prevalence" "f" "16-17" 4 432 2005 59427 726.94229895502 "age_group"
"prevalence" "f" "18+" 1 1999 2005 2144929 93.1965580212678 "age_group"
"prevalence" "f" "18+" 2 1322 2005 2144929 61.6337417229195 "age_group"
"prevalence" "f" "18+" 3 742 2005 2144929 34.5932196357082 "age_group"
"prevalence" "f" "18+" 4 4063 2005 2144929 189.423519379896 "age_group"
"prevalence" "m" "0-1" 1 198 2005 33232 595.811266249398 "age_group"
"prevalence" "m" "0-1" 2 71 2005 33232 213.649494463168 "age_group"
"prevalence" "m" "0-1" 3 61 2005 33232 183.558016369764 "age_group"
"prevalence" "m" "0-1" 4 330 2005 33232 993.01877708233 "age_group"
"prevalence" "m" "2-3" 1 359 2005 66719 538.077609076875 "age_group"
"prevalence" "m" "2-3" 2 173 2005 66719 259.296452284956 "age_group"
"prevalence" "m" "2-3" 3 127 2005 66719 190.350574798783 "age_group"
"prevalence" "m" "2-3" 4 659 2005 66719 987.724636160614 "age_group"
"prevalence" "m" "4-5" 1 358 2005 68809 520.28077722391 "age_group"
"prevalence" "m" "4-5" 2 207 2005 68809 300.83273990321 "age_group"
"prevalence" "m" "4-5" 3 115 2005 68809 167.129299946228 "age_group"
"prevalence" "m" "4-5" 4 680 2005 68809 988.242817073348 "age_group"
"prevalence" "m" "6-7" 1 374 2005 69732 536.339126943154 "age_group"
"prevalence" "m" "6-7" 2 249 2005 69732 357.081397349854 "age_group"
"prevalence" "m" "6-7" 3 119 2005 69732 170.653358572822 "age_group"
"prevalence" "m" "6-7" 4 742 2005 69732 1064.07388286583 "age_group"
"prevalence" "m" "8-9" 1 420 2005 72291 580.985184877786 "age_group"
"prevalence" "m" "8-9" 2 263 2005 72291 363.807389578232 "age_group"
"prevalence" "m" "8-9" 3 127 2005 72291 175.678853522569 "age_group"
"prevalence" "m" "8-9" 4 810 2005 72291 1120.47142797859 "age_group"
"prevalence" "m" "10-11" 1 346 2005 72541 476.971643622227 "age_group"
"prevalence" "m" "10-11" 2 252 2005 72541 347.389752002316 "age_group"
"prevalence" "m" "10-11" 3 101 2005 72541 139.231606953309 "age_group"
"prevalence" "m" "10-11" 4 699 2005 72541 963.593002577853 "age_group"
"prevalence" "m" "12-13" 1 319 2005 70600 451.841359773371 "age_group"
"prevalence" "m" "12-13" 2 266 2005 70600 376.770538243626 "age_group"
"prevalence" "m" "12-13" 3 102 2005 70600 144.475920679887 "age_group"
"prevalence" "m" "12-13" 4 687 2005 70600 973.087818696884 "age_group"
"prevalence" "m" "14-15" 1 254 2005 67541 376.067869886439 "age_group"
"prevalence" "m" "14-15" 2 195 2005 67541 288.713522156912 "age_group"
"prevalence" "m" "14-15" 3 106 2005 67541 156.941709480168 "age_group"
