"sex" "year" "aggr_level" "aggr_level_val" "event" "ht.code" "mov.avg" "age.std" "rate" "n.events"
"female" 2019 "age" "18 - 34" "n.admissions" "d15" 0 0 NA NA
"female" 2019 "age" "18 - 34" "n.admissions.ppl" "d15" 0 0 NA NA
"female" 2019 "age" "18 - 34" "n.dead.year" "d15" 0 0 NA NA
"female" 2019 "age" "18 - 34" "n.dead1" "d15" 0 0 NA NA
"female" 2019 "age" "18 - 34" "n.dead30" "d15" 0 0 NA NA
"female" 2019 "age" "18 - 34" "n.dead5" "d15" 0 0 NA NA
"female" 2019 "age" "18 - 34" "n.incidence" "d15" 0 0 NA NA
"female" 2019 "age" "18 - 34" "n.prevalence" "d15" 0 0 11.6 68
"female" 2019 "age" "18 - 34" "n.readmissions.30" "d15" 0 0 NA NA
"female" 2019 "age" "18 - 34" "n.readmissions.ppl.30" "d15" 0 0 NA NA
"female" 2019 "age" "35 - 44" "n.admissions" "d15" 0 0 6.3 22
"female" 2019 "age" "35 - 44" "n.admissions.ppl" "d15" 0 0 6.3 22
"female" 2019 "age" "35 - 44" "n.dead.year" "d15" 0 0 NA NA
"female" 2019 "age" "35 - 44" "n.dead1" "d15" 0 0 NA NA
"female" 2019 "age" "35 - 44" "n.dead30" "d15" 0 0 NA NA
"female" 2019 "age" "35 - 44" "n.dead5" "d15" 0 0 NA NA
"female" 2019 "age" "35 - 44" "n.incidence" "d15" 0 0 16.8 59
"female" 2019 "age" "35 - 44" "n.prevalence" "d15" 0 0 109.7 385
"female" 2019 "age" "35 - 44" "n.readmissions.30" "d15" 0 0 NA NA
"female" 2019 "age" "35 - 44" "n.readmissions.ppl.30" "d15" 0 0 NA NA
"female" 2019 "age" "45 - 54" "n.admissions" "d15" 0 0 23.8 96
"female" 2019 "age" "45 - 54" "n.admissions.ppl" "d15" 0 0 20.9 84
"female" 2019 "age" "45 - 54" "n.dead.year" "d15" 0 0 NA NA
"female" 2019 "age" "45 - 54" "n.dead1" "d15" 0 0 NA NA
"female" 2019 "age" "45 - 54" "n.dead30" "d15" 0 0 NA NA
"female" 2019 "age" "45 - 54" "n.dead5" "d15" 0 0 NA NA
"female" 2019 "age" "45 - 54" "n.incidence" "d15" 0 0 72.3 291
"female" 2019 "age" "45 - 54" "n.prevalence" "d15" 0 0 477.7 1923
"female" 2019 "age" "45 - 54" "n.readmissions.30" "d15" 0 0 4.7 19
"female" 2019 "age" "45 - 54" "n.readmissions.ppl.30" "d15" 0 0 17857.1 15
"female" 2019 "age" "55 - 64" "n.admissions" "d15" 0 0 47.9 173
"female" 2019 "age" "55 - 64" "n.admissions.ppl" "d15" 0 0 42.1 152
"female" 2019 "age" "55 - 64" "n.dead.year" "d15" 0 0 3 11
"female" 2019 "age" "55 - 64" "n.dead1" "d15" 0 0 4056.4 23
"female" 2019 "age" "55 - 64" "n.dead30" "d15" 0 0 1940 11
"female" 2019 "age" "55 - 64" "n.dead5" "d15" 0 0 7936.5 45
"female" 2019 "age" "55 - 64" "n.incidence" "d15" 0 0 156.9 567
"female" 2019 "age" "55 - 64" "n.prevalence" "d15" 0 0 1286.2 4649
"female" 2019 "age" "55 - 64" "n.readmissions.30" "d15" 0 0 8.9 32
"female" 2019 "age" "55 - 64" "n.readmissions.ppl.30" "d15" 0 0 19078.9 29
"female" 2019 "age" "65 - 74" "n.admissions" "d15" 0 0 98 327
"female" 2019 "age" "65 - 74" "n.admissions.ppl" "d15" 0 0 90.8 303
"female" 2019 "age" "65 - 74" "n.dead.year" "d15" 0 0 8.7 29
"female" 2019 "age" "65 - 74" "n.dead1" "d15" 0 0 4418.1 41
"female" 2019 "age" "65 - 74" "n.dead30" "d15" 0 0 2478.4 23
"female" 2019 "age" "65 - 74" "n.dead5" "d15" 0 0 10991.4 102
"female" 2019 "age" "65 - 74" "n.incidence" "d15" 0 0 278.2 928
"female" 2019 "age" "65 - 74" "n.prevalence" "d15" 0 0 2243.3 7484
"female" 2019 "age" "65 - 74" "n.readmissions.30" "d15" 0 0 23.4 78
"female" 2019 "age" "65 - 74" "n.readmissions.ppl.30" "d15" 0 0 23762.4 72
"female" 2019 "age" "75 - 84" "n.admissions" "d15" 0 0 146.7 294
"female" 2019 "age" "75 - 84" "n.admissions.ppl" "d15" 0 0 135.3 271
