"sex" "year" "aggr_level" "aggr_level_val" "event" "ht.code" "mov.avg" "age.std" "rate" "n.events"
"female" 2004 "age" "85+" "n.admissions" "d9" 0 0 2273.8 1602
"female" 2004 "age" "85+" "n.admissions.ppl" "d9" 0 0 1917.6 1351
"female" 2004 "age" "85+" "n.dead.year" "d9" 0 0 2361.8 1664
"female" 2004 "age" "85+" "n.dead1" "d9" 0 0 72681.7 1450
"female" 2004 "age" "85+" "n.dead30" "d9" 0 0 63809.5 1273
"female" 2004 "age" "85+" "n.dead5" "d9" 0 0 89924.8 1794
"female" 2004 "age" "85+" "n.incidence" "d9" 0 0 2831.6 1995
"female" 2004 "age" "85+" "n.prevalence" "d9" 0 0 9000.2 6341
"female" 2004 "age" "85+" "n.readmissions.30" "d9" 0 0 434.3 306
"female" 2004 "age" "85+" "n.readmissions.ppl.30" "d9" 0 0 19245 260
"female" 2004 "age" "65 - 74" "n.admissions" "d9" 0 0 1490.2 3359
"female" 2004 "age" "65 - 74" "n.admissions.ppl" "d9" 0 0 1059.4 2388
"female" 2004 "age" "65 - 74" "n.dead.year" "d9" 0 0 158.8 358
"female" 2004 "age" "65 - 74" "n.dead1" "d9" 0 0 17773.4 364
"female" 2004 "age" "65 - 74" "n.dead30" "d9" 0 0 13867.2 284
"female" 2004 "age" "65 - 74" "n.dead5" "d9" 0 0 30859.4 632
"female" 2004 "age" "65 - 74" "n.incidence" "d9" 0 0 908.6 2048
"female" 2004 "age" "65 - 74" "n.prevalence" "d9" 0 0 6261.8 14114
"female" 2004 "age" "65 - 74" "n.readmissions.30" "d9" 0 0 371.3 837
"female" 2004 "age" "65 - 74" "n.readmissions.ppl.30" "d9" 0 0 27219.4 650
"female" 2004 "age" "75 - 84" "n.admissions" "d9" 0 0 2091.1 3488
"female" 2004 "age" "75 - 84" "n.admissions.ppl" "d9" 0 0 1616.9 2697
"female" 2004 "age" "75 - 84" "n.dead.year" "d9" 0 0 694.8 1159
"female" 2004 "age" "75 - 84" "n.dead1" "d9" 0 0 42840.8 1125
"female" 2004 "age" "75 - 84" "n.dead30" "d9" 0 0 34615.4 909
"female" 2004 "age" "75 - 84" "n.dead5" "d9" 0 0 59901 1573
"female" 2004 "age" "75 - 84" "n.incidence" "d9" 0 0 1574.3 2626
"female" 2004 "age" "75 - 84" "n.prevalence" "d9" 0 0 8516.5 14206
"female" 2004 "age" "75 - 84" "n.readmissions.30" "d9" 0 0 486.2 811
"female" 2004 "age" "75 - 84" "n.readmissions.ppl.30" "d9" 0 0 24508.7 661
"female" 2004 "age" "45 - 54" "n.admissions" "d9" 0 0 364.6 1320
"female" 2004 "age" "45 - 54" "n.admissions.ppl" "d9" 0 0 256.9 930
"female" 2004 "age" "45 - 54" "n.dead.year" "d9" 0 0 11.3 41
"female" 2004 "age" "45 - 54" "n.dead1" "d9" 0 0 5543.7 52
"female" 2004 "age" "45 - 54" "n.dead30" "d9" 0 0 4264.4 40
"female" 2004 "age" "45 - 54" "n.dead5" "d9" 0 0 9168.4 86
"female" 2004 "age" "45 - 54" "n.incidence" "d9" 0 0 259.1 938
"female" 2004 "age" "45 - 54" "n.prevalence" "d9" 0 0 1292 4678
"female" 2004 "age" "45 - 54" "n.readmissions.30" "d9" 0 0 95 344
"female" 2004 "age" "45 - 54" "n.readmissions.ppl.30" "d9" 0 0 23548.4 219
"female" 2004 "age" "55 - 64" "n.admissions" "d9" 0 0 669.3 2325
"female" 2004 "age" "55 - 64" "n.admissions.ppl" "d9" 0 0 482.8 1677
"female" 2004 "age" "55 - 64" "n.dead.year" "d9" 0 0 34.3 119
"female" 2004 "age" "55 - 64" "n.dead1" "d9" 0 0 8287.6 136
"female" 2004 "age" "55 - 64" "n.dead30" "d9" 0 0 6093.8 100
"female" 2004 "age" "55 - 64" "n.dead5" "d9" 0 0 14320.5 235
"female" 2004 "age" "55 - 64" "n.incidence" "d9" 0 0 472.4 1641
"female" 2004 "age" "55 - 64" "n.prevalence" "d9" 0 0 3062 10636
"female" 2004 "age" "55 - 64" "n.readmissions.30" "d9" 0 0 157.5 547
"female" 2004 "age" "55 - 64" "n.readmissions.ppl.30" "d9" 0 0 24985.1 419
"female" 2004 "age" "35 - 44" "n.admissions" "d9" 0 0 100.8 365
"female" 2004 "age" "35 - 44" "n.admissions.ppl" "d9" 0 0 79.3 287
"female" 2004 "age" "35 - 44" "n.dead.year" "d9" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.dead1" "d9" 0 0 3039.5 10
"female" 2004 "age" "35 - 44" "n.dead30" "d9" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.dead5" "d9" 0 0 6383 21
"female" 2004 "age" "35 - 44" "n.incidence" "d9" 0 0 90.9 329
"female" 2004 "age" "35 - 44" "n.prevalence" "d9" 0 0 341.9 1238
"female" 2004 "age" "35 - 44" "n.readmissions.30" "d9" 0 0 25.4 92
