"sex" "year" "aggr_level" "aggr_level_val" "event" "ht.code" "mov.avg" "age.std" "rate" "n.events"
"female" 2004 "age" "18 - 34" "n.patients.med" "m1" 0 0 128.4 694
"female" 2004 "age" "18 - 34" "n.patients.med" "m2" 0 0 2288.4 12369
"female" 2004 "age" "18 - 34" "n.patients.med" "m3" 0 0 176.9 956
"female" 2004 "age" "18 - 34" "n.patients.med" "m4" 0 0 79.9 432
"female" 2004 "age" "18 - 34" "n.patients.med" "m5" 0 0 136.5 738
"female" 2004 "age" "18 - 34" "n.patients.med" "m6" 0 0 141.3 764
"female" 2004 "age" "18 - 34" "n.patients.med" "m7" 0 0 2765.6 14948
"female" 2004 "age" "35 - 44" "n.patients.med" "m1" 0 0 387.4 1551
"female" 2004 "age" "35 - 44" "n.patients.med" "m2" 0 0 7561.1 30269
"female" 2004 "age" "35 - 44" "n.patients.med" "m3" 0 0 919 3679
"female" 2004 "age" "35 - 44" "n.patients.med" "m4" 0 0 67.9 272
"female" 2004 "age" "35 - 44" "n.patients.med" "m5" 0 0 732.9 2934
"female" 2004 "age" "35 - 44" "n.patients.med" "m6" 0 0 248 993
"female" 2004 "age" "35 - 44" "n.patients.med" "m7" 0 0 8645.8 34611
"female" 2004 "age" "45 - 54" "n.patients.med" "m1" 0 0 1049.5 3800
"female" 2004 "age" "45 - 54" "n.patients.med" "m2" 0 0 19069.5 69045
"female" 2004 "age" "45 - 54" "n.patients.med" "m3" 0 0 3941.8 14272
"female" 2004 "age" "45 - 54" "n.patients.med" "m4" 0 0 138.6 502
"female" 2004 "age" "45 - 54" "n.patients.med" "m5" 0 0 3142.8 11379
"female" 2004 "age" "45 - 54" "n.patients.med" "m6" 0 0 405.4 1468
"female" 2004 "age" "45 - 54" "n.patients.med" "m7" 0 0 21542.8 78000
"female" 2004 "age" "55 - 64" "n.patients.med" "m1" 0 0 2538 8816
"female" 2004 "age" "55 - 64" "n.patients.med" "m2" 0 0 32456.4 112740
"female" 2004 "age" "55 - 64" "n.patients.med" "m3" 0 0 10118.7 35148
"female" 2004 "age" "55 - 64" "n.patients.med" "m4" 0 0 286.4 995
"female" 2004 "age" "55 - 64" "n.patients.med" "m5" 0 0 8780 30498
"female" 2004 "age" "55 - 64" "n.patients.med" "m6" 0 0 961 3338
"female" 2004 "age" "55 - 64" "n.patients.med" "m7" 0 0 37066.7 128754
"female" 2004 "age" "65 - 74" "n.patients.med" "m1" 0 0 6975.2 15722
"female" 2004 "age" "65 - 74" "n.patients.med" "m2" 0 0 49391.3 111328
"female" 2004 "age" "65 - 74" "n.patients.med" "m3" 0 0 16387.3 36937
"female" 2004 "age" "65 - 74" "n.patients.med" "m4" 0 0 609.6 1374
"female" 2004 "age" "65 - 74" "n.patients.med" "m5" 0 0 20732 46730
"female" 2004 "age" "65 - 74" "n.patients.med" "m6" 0 0 2958.3 6668
"female" 2004 "age" "65 - 74" "n.patients.med" "m7" 0 0 55903.3 126006
"female" 2004 "age" "75 - 84" "n.patients.med" "m1" 0 0 15477.4 25817
"female" 2004 "age" "75 - 84" "n.patients.med" "m2" 0 0 64505.3 107598
"female" 2004 "age" "75 - 84" "n.patients.med" "m3" 0 0 12366.5 20628
"female" 2004 "age" "75 - 84" "n.patients.med" "m4" 0 0 1159.4 1934
"female" 2004 "age" "75 - 84" "n.patients.med" "m5" 0 0 33574.5 56004
"female" 2004 "age" "75 - 84" "n.patients.med" "m6" 0 0 5669.5 9457
"female" 2004 "age" "75 - 84" "n.patients.med" "m7" 0 0 71384 119072
"female" 2004 "age" "85+" "n.patients.med" "m1" 0 0 24034.1 16933
"female" 2004 "age" "85+" "n.patients.med" "m2" 0 0 69954.9 49286
"female" 2004 "age" "85+" "n.patients.med" "m3" 0 0 2806.1 1977
"female" 2004 "age" "85+" "n.patients.med" "m4" 0 0 1379.6 972
"female" 2004 "age" "85+" "n.patients.med" "m5" 0 0 40206.4 28327
"female" 2004 "age" "85+" "n.patients.med" "m6" 0 0 3674.7 2589
"female" 2004 "age" "85+" "n.patients.med" "m7" 0 0 78048.1 54988
"female" 2004 "national" "national" "n.patients.med" "m1" 0 1 2877 73333
"female" 2004 "national" "national" "n.patients.med" "m2" 0 1 19435.4 492635
"female" 2004 "national" "national" "n.patients.med" "m3" 0 1 4628.3 113597
"female" 2004 "national" "national" "n.patients.med" "m4" 0 1 255.1 6481
"female" 2004 "national" "national" "n.patients.med" "m5" 0 1 7052 176610
"female" 2004 "national" "national" "n.patients.med" "m6" 0 1 1015.1 25277
"female" 2004 "national" "national" "n.patients.med" "m7" 0 1 21949.5 556379
"female" 2005 "age" "18 - 34" "n.patients.med" "m1" 0 0 112.8 602
"female" 2005 "age" "18 - 34" "n.patients.med" "m2" 0 0 2354 12566
"female" 2005 "age" "18 - 34" "n.patients.med" "m3" 0 0 211.5 1129
"female" 2005 "age" "18 - 34" "n.patients.med" "m4" 0 0 92 491
"female" 2005 "age" "18 - 34" "n.patients.med" "m5" 0 0 143.1 764
"female" 2005 "age" "18 - 34" "n.patients.med" "m6" 0 0 149.9 800
