"sex" "year" "aggr_level" "aggr_level_val" "event" "ht.code" "mov.avg" "age.std" "rate" "n.events"
"female" 2004 "age" "85+" "n.dead1.opr" "b1" 0 0 20000 14
"female" 2004 "age" "85+" "n.dead1.opr" "b2" 0 0 NA NA
"female" 2004 "age" "85+" "n.dead1.opr" "b3" 0 0 22222.2 20
"female" 2004 "age" "85+" "n.dead1.opr" "b4" 0 0 21126.8 30
"female" 2004 "age" "85+" "n.dead1.opr" "b5" 0 0 NA NA
"female" 2004 "age" "85+" "n.dead1.opr" "b6" 0 0 15604.4 71
"female" 2004 "age" "85+" "n.dead30.opr" "b1" 0 0 14285.7 10
"female" 2004 "age" "85+" "n.dead30.opr" "b3" 0 0 13333.3 12
"female" 2004 "age" "85+" "n.dead30.opr" "b4" 0 0 9154.9 13
"female" 2004 "age" "85+" "n.dead30.opr" "b6" 0 0 5274.7 24
"female" 2004 "age" "85+" "n.oprs" "b1" 0 0 106.5 75
"female" 2004 "age" "85+" "n.oprs" "b2" 0 0 NA NA
"female" 2004 "age" "85+" "n.oprs" "b3" 0 0 146.2 103
"female" 2004 "age" "85+" "n.oprs" "b4" 0 0 208.6 147
"female" 2004 "age" "85+" "n.oprs" "b5" 0 0 19.9 14
"female" 2004 "age" "85+" "n.oprs" "b6" 0 0 702.6 495
"female" 2004 "age" "85+" "n.oprs" "b7" 0 0 NA NA
"female" 2004 "age" "85+" "n.oprs" "b8" 0 0 NA NA
"female" 2004 "age" "85+" "n.patients.opr" "b1" 0 0 99.4 70
"female" 2004 "age" "85+" "n.patients.opr" "b2" 0 0 NA NA
"female" 2004 "age" "85+" "n.patients.opr" "b3" 0 0 127.7 90
"female" 2004 "age" "85+" "n.patients.opr" "b4" 0 0 201.5 142
"female" 2004 "age" "85+" "n.patients.opr" "b5" 0 0 19.9 14
"female" 2004 "age" "85+" "n.patients.opr" "b6" 0 0 645.8 455
"female" 2004 "age" "85+" "n.patients.opr" "b7" 0 0 NA NA
"female" 2004 "age" "85+" "n.patients.opr" "b8" 0 0 NA NA
"female" 2004 "age" "65 - 74" "n.dead1.opr" "b1" 0 0 3287.7 24
"female" 2004 "age" "65 - 74" "n.dead1.opr" "b2" 0 0 6405.7 18
"female" 2004 "age" "65 - 74" "n.dead1.opr" "b3" 0 0 8387.1 39
"female" 2004 "age" "65 - 74" "n.dead1.opr" "b4" 0 0 3688.3 80
"female" 2004 "age" "65 - 74" "n.dead1.opr" "b5" 0 0 8235.3 14
"female" 2004 "age" "65 - 74" "n.dead1.opr" "b6" 0 0 6430.2 29
"female" 2004 "age" "65 - 74" "n.dead30.opr" "b1" 0 0 2876.7 21
"female" 2004 "age" "65 - 74" "n.dead30.opr" "b3" 0 0 4516.1 21
"female" 2004 "age" "65 - 74" "n.dead30.opr" "b4" 0 0 2074.7 45
"female" 2004 "age" "65 - 74" "n.dead30.opr" "b6" 0 0 3547.7 16
"female" 2004 "age" "65 - 74" "n.oprs" "b1" 0 0 353.6 797
"female" 2004 "age" "65 - 74" "n.oprs" "b2" 0 0 124.7 281
"female" 2004 "age" "65 - 74" "n.oprs" "b3" 0 0 248.4 560
"female" 2004 "age" "65 - 74" "n.oprs" "b4" 0 0 1056.8 2382
"female" 2004 "age" "65 - 74" "n.oprs" "b5" 0 0 77.2 174
"female" 2004 "age" "65 - 74" "n.oprs" "b6" 0 0 220.9 498
"female" 2004 "age" "65 - 74" "n.oprs" "b7" 0 0 13.3 30
"female" 2004 "age" "65 - 74" "n.oprs" "b8" 0 0 27.1 61
"female" 2004 "age" "65 - 74" "n.patients.opr" "b1" 0 0 323.9 730
"female" 2004 "age" "65 - 74" "n.patients.opr" "b2" 0 0 124.7 281
"female" 2004 "age" "65 - 74" "n.patients.opr" "b3" 0 0 206.3 465
"female" 2004 "age" "65 - 74" "n.patients.opr" "b4" 0 0 962.3 2169
"female" 2004 "age" "65 - 74" "n.patients.opr" "b5" 0 0 75.4 170
"female" 2004 "age" "65 - 74" "n.patients.opr" "b6" 0 0 200.1 451
"female" 2004 "age" "65 - 74" "n.patients.opr" "b7" 0 0 12.4 28
"female" 2004 "age" "65 - 74" "n.patients.opr" "b8" 0 0 23.5 53
"female" 2004 "age" "75 - 84" "n.dead1.opr" "b1" 0 0 9665.4 52
"female" 2004 "age" "75 - 84" "n.dead1.opr" "b2" 0 0 13259.7 24
"female" 2004 "age" "75 - 84" "n.dead1.opr" "b3" 0 0 13170.7 54
"female" 2004 "age" "75 - 84" "n.dead1.opr" "b4" 0 0 8968.6 120
"female" 2004 "age" "75 - 84" "n.dead1.opr" "b5" 0 0 16233.8 25
"female" 2004 "age" "75 - 84" "n.dead1.opr" "b6" 0 0 7061.8 56
"female" 2004 "age" "75 - 84" "n.dead30.opr" "b1" 0 0 6877.3 37
"female" 2004 "age" "75 - 84" "n.dead30.opr" "b3" 0 0 7073.2 29
"female" 2004 "age" "75 - 84" "n.dead30.opr" "b4" 0 0 4858 65
"female" 2004 "age" "75 - 84" "n.dead30.opr" "b6" 0 0 3404.8 27
"female" 2004 "age" "75 - 84" "n.oprs" "b1" 0 0 345.3 576
"female" 2004 "age" "75 - 84" "n.oprs" "b2" 0 0 109.1 182
"female" 2004 "age" "75 - 84" "n.oprs" "b3" 0 0 287.2 479
"female" 2004 "age" "75 - 84" "n.oprs" "b4" 0 0 857.3 1430
"female" 2004 "age" "75 - 84" "n.oprs" "b5" 0 0 94.1 157
"female" 2004 "age" "75 - 84" "n.oprs" "b6" 0 0 524 874
"female" 2004 "age" "75 - 84" "n.oprs" "b7" 0 0 7.2 12
"female" 2004 "age" "75 - 84" "n.oprs" "b8" 0 0 9 15
"female" 2004 "age" "75 - 84" "n.patients.opr" "b1" 0 0 322.5 538
"female" 2004 "age" "75 - 84" "n.patients.opr" "b2" 0 0 108.5 181
"female" 2004 "age" "75 - 84" "n.patients.opr" "b3" 0 0 245.8 410
"female" 2004 "age" "75 - 84" "n.patients.opr" "b4" 0 0 802.1 1338
"female" 2004 "age" "75 - 84" "n.patients.opr" "b5" 0 0 92.3 154
"female" 2004 "age" "75 - 84" "n.patients.opr" "b6" 0 0 475.4 793
"female" 2004 "age" "75 - 84" "n.patients.opr" "b7" 0 0 7.2 12
"female" 2004 "age" "75 - 84" "n.patients.opr" "b8" 0 0 9 15
"female" 2004 "age" "45 - 54" "n.dead1.opr" "b1" 0 0 NA NA
"female" 2004 "age" "45 - 54" "n.dead1.opr" "b2" 0 0 NA NA
"female" 2004 "age" "45 - 54" "n.dead1.opr" "b3" 0 0 NA NA
"female" 2004 "age" "45 - 54" "n.dead1.opr" "b4" 0 0 NA NA
"female" 2004 "age" "45 - 54" "n.dead1.opr" "b5" 0 0 NA NA
"female" 2004 "age" "45 - 54" "n.dead1.opr" "b6" 0 0 NA NA
"female" 2004 "age" "45 - 54" "n.dead30.opr" "b1" 0 0 NA NA
"female" 2004 "age" "45 - 54" "n.dead30.opr" "b3" 0 0 NA NA
"female" 2004 "age" "45 - 54" "n.dead30.opr" "b4" 0 0 NA NA
"female" 2004 "age" "45 - 54" "n.dead30.opr" "b6" 0 0 NA NA
"female" 2004 "age" "45 - 54" "n.oprs" "b1" 0 0 73.5 266
"female" 2004 "age" "45 - 54" "n.oprs" "b2" 0 0 13.8 50
"female" 2004 "age" "45 - 54" "n.oprs" "b3" 0 0 34 123
"female" 2004 "age" "45 - 54" "n.oprs" "b4" 0 0 327.5 1186
"female" 2004 "age" "45 - 54" "n.oprs" "b5" 0 0 10.5 38
"female" 2004 "age" "45 - 54" "n.oprs" "b6" 0 0 42.8 155
"female" 2004 "age" "45 - 54" "n.oprs" "b7" 0 0 5.8 21
"female" 2004 "age" "45 - 54" "n.oprs" "b8" 0 0 29.8 108
"female" 2004 "age" "45 - 54" "n.patients.opr" "b1" 0 0 65.5 237
"female" 2004 "age" "45 - 54" "n.patients.opr" "b2" 0 0 13.5 49
"female" 2004 "age" "45 - 54" "n.patients.opr" "b3" 0 0 30.1 109
"female" 2004 "age" "45 - 54" "n.patients.opr" "b4" 0 0 298 1079
"female" 2004 "age" "45 - 54" "n.patients.opr" "b5" 0 0 10.2 37
"female" 2004 "age" "45 - 54" "n.patients.opr" "b6" 0 0 36.7 133
"female" 2004 "age" "45 - 54" "n.patients.opr" "b7" 0 0 5.5 20
"female" 2004 "age" "45 - 54" "n.patients.opr" "b8" 0 0 26.5 96
"female" 2004 "age" "55 - 64" "n.dead1.opr" "b1" 0 0 3327.2 18
"female" 2004 "age" "55 - 64" "n.dead1.opr" "b2" 0 0 NA NA
"female" 2004 "age" "55 - 64" "n.dead1.opr" "b3" 0 0 5633.8 16
"female" 2004 "age" "55 - 64" "n.dead1.opr" "b4" 0 0 2088.8 40
"female" 2004 "age" "55 - 64" "n.dead1.opr" "b5" 0 0 NA NA
"female" 2004 "age" "55 - 64" "n.dead1.opr" "b6" 0 0 4219.4 10
"female" 2004 "age" "55 - 64" "n.dead30.opr" "b1" 0 0 1848.4 10
"female" 2004 "age" "55 - 64" "n.dead30.opr" "b3" 0 0 NA NA
"female" 2004 "age" "55 - 64" "n.dead30.opr" "b4" 0 0 835.5 16
"female" 2004 "age" "55 - 64" "n.dead30.opr" "b6" 0 0 NA NA
"female" 2004 "age" "55 - 64" "n.oprs" "b1" 0 0 170.4 592
"female" 2004 "age" "55 - 64" "n.oprs" "b2" 0 0 33.7 117
"female" 2004 "age" "55 - 64" "n.oprs" "b3" 0 0 97.3 338
"female" 2004 "age" "55 - 64" "n.oprs" "b4" 0 0 600.5 2086
"female" 2004 "age" "55 - 64" "n.oprs" "b5" 0 0 21.6 75
"female" 2004 "age" "55 - 64" "n.oprs" "b6" 0 0 78 271
"female" 2004 "age" "55 - 64" "n.oprs" "b7" 0 0 6.9 24
"female" 2004 "age" "55 - 64" "n.oprs" "b8" 0 0 34.5 120
"female" 2004 "age" "55 - 64" "n.patients.opr" "b1" 0 0 155.7 541
"female" 2004 "age" "55 - 64" "n.patients.opr" "b2" 0 0 33.4 116
"female" 2004 "age" "55 - 64" "n.patients.opr" "b3" 0 0 81.8 284
"female" 2004 "age" "55 - 64" "n.patients.opr" "b4" 0 0 551.3 1915
"female" 2004 "age" "55 - 64" "n.patients.opr" "b5" 0 0 21.6 75
"female" 2004 "age" "55 - 64" "n.patients.opr" "b6" 0 0 68.2 237
"female" 2004 "age" "55 - 64" "n.patients.opr" "b7" 0 0 6.6 23
"female" 2004 "age" "55 - 64" "n.patients.opr" "b8" 0 0 32 111
"female" 2004 "age" "35 - 44" "n.dead1.opr" "b1" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.dead1.opr" "b2" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.dead1.opr" "b3" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.dead1.opr" "b4" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.dead1.opr" "b5" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.dead1.opr" "b6" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.dead30.opr" "b1" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.dead30.opr" "b3" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.dead30.opr" "b4" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.dead30.opr" "b6" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.oprs" "b1" 0 0 22.2 89
"female" 2004 "age" "35 - 44" "n.oprs" "b2" 0 0 3 12
"female" 2004 "age" "35 - 44" "n.oprs" "b3" 0 0 11.2 45
"female" 2004 "age" "35 - 44" "n.oprs" "b4" 0 0 94.7 379
"female" 2004 "age" "35 - 44" "n.oprs" "b5" 0 0 6.5 26
"female" 2004 "age" "35 - 44" "n.oprs" "b6" 0 0 23 92
"female" 2004 "age" "35 - 44" "n.oprs" "b7" 0 0 2.7 11
"female" 2004 "age" "35 - 44" "n.oprs" "b8" 0 0 16.7 67
"female" 2004 "age" "35 - 44" "n.patients.opr" "b1" 0 0 20 80
"female" 2004 "age" "35 - 44" "n.patients.opr" "b2" 0 0 3 12
"female" 2004 "age" "35 - 44" "n.patients.opr" "b3" 0 0 9.2 37
"female" 2004 "age" "35 - 44" "n.patients.opr" "b4" 0 0 88.9 356
"female" 2004 "age" "35 - 44" "n.patients.opr" "b5" 0 0 5.7 23
"female" 2004 "age" "35 - 44" "n.patients.opr" "b6" 0 0 19.2 77
"female" 2004 "age" "35 - 44" "n.patients.opr" "b7" 0 0 2.7 11
"female" 2004 "age" "35 - 44" "n.patients.opr" "b8" 0 0 16 64
"female" 2004 "national" "national" "n.dead1.opr" "b1" 0 1 3680.3 112
"female" 2004 "national" "national" "n.dead1.opr" "b2" 0 1 3800.8 49
"female" 2004 "national" "national" "n.dead1.opr" "b3" 0 1 6714.1 137
"female" 2004 "national" "national" "n.dead1.opr" "b4" 0 1 3376 280
"female" 2004 "national" "national" "n.dead1.opr" "b5" 0 1 5837.9 45
"female" 2004 "national" "national" "n.dead1.opr" "b6" 0 1 4448.1 171
"female" 2004 "national" "national" "n.dead30.opr" "b1" 0 1 2422 80
