"sex" "year" "aggr_level" "aggr_level_val" "event" "ht.code" "mov.avg" "age.std" "rate" "n.events"
"female" 2018 "age" "18 - 34" "n.dead1.opr" "b1" 0 0 NA NA
"female" 2018 "age" "18 - 34" "n.dead1.opr" "b2" 0 0 NA NA
"female" 2018 "age" "18 - 34" "n.dead1.opr" "b3" 0 0 NA NA
"female" 2018 "age" "18 - 34" "n.dead1.opr" "b4" 0 0 NA NA
"female" 2018 "age" "18 - 34" "n.dead1.opr" "b5" 0 0 NA NA
"female" 2018 "age" "18 - 34" "n.dead1.opr" "b6" 0 0 NA NA
"female" 2018 "age" "18 - 34" "n.dead30.opr" "b1" 0 0 NA NA
"female" 2018 "age" "18 - 34" "n.dead30.opr" "b3" 0 0 NA NA
"female" 2018 "age" "18 - 34" "n.dead30.opr" "b4" 0 0 NA NA
"female" 2018 "age" "18 - 34" "n.dead30.opr" "b6" 0 0 NA NA
"female" 2018 "age" "18 - 34" "n.oprs" "b1" 0 0 14.1 82
"female" 2018 "age" "18 - 34" "n.oprs" "b2" 0 0 NA NA
"female" 2018 "age" "18 - 34" "n.oprs" "b3" 0 0 23.4 136
"female" 2018 "age" "18 - 34" "n.oprs" "b4" 0 0 64.4 374
"female" 2018 "age" "18 - 34" "n.oprs" "b5" 0 0 21.2 123
"female" 2018 "age" "18 - 34" "n.oprs" "b6" 0 0 13.1 76
"female" 2018 "age" "18 - 34" "n.oprs" "b7" 0 0 15.8 92
"female" 2018 "age" "18 - 34" "n.oprs" "b8" 0 0 127 738
"female" 2018 "age" "18 - 34" "n.patients.opr" "b1" 0 0 10.3 60
"female" 2018 "age" "18 - 34" "n.patients.opr" "b2" 0 0 NA NA
"female" 2018 "age" "18 - 34" "n.patients.opr" "b3" 0 0 17 99
"female" 2018 "age" "18 - 34" "n.patients.opr" "b4" 0 0 44.1 256
"female" 2018 "age" "18 - 34" "n.patients.opr" "b5" 0 0 17.7 103
"female" 2018 "age" "18 - 34" "n.patients.opr" "b6" 0 0 12.7 74
"female" 2018 "age" "18 - 34" "n.patients.opr" "b7" 0 0 15.1 88
"female" 2018 "age" "18 - 34" "n.patients.opr" "b8" 0 0 110.5 642
"female" 2018 "age" "35 - 44" "n.dead1.opr" "b1" 0 0 NA NA
"female" 2018 "age" "35 - 44" "n.dead1.opr" "b2" 0 0 NA NA
"female" 2018 "age" "35 - 44" "n.dead1.opr" "b3" 0 0 NA NA
"female" 2018 "age" "35 - 44" "n.dead1.opr" "b4" 0 0 NA NA
"female" 2018 "age" "35 - 44" "n.dead1.opr" "b5" 0 0 NA NA
"female" 2018 "age" "35 - 44" "n.dead1.opr" "b6" 0 0 NA NA
"female" 2018 "age" "35 - 44" "n.dead30.opr" "b1" 0 0 NA NA
"female" 2018 "age" "35 - 44" "n.dead30.opr" "b3" 0 0 NA NA
"female" 2018 "age" "35 - 44" "n.dead30.opr" "b4" 0 0 NA NA
"female" 2018 "age" "35 - 44" "n.dead30.opr" "b6" 0 0 NA NA
"female" 2018 "age" "35 - 44" "n.oprs" "b1" 0 0 126 450
"female" 2018 "age" "35 - 44" "n.oprs" "b2" 0 0 9.2 33
"female" 2018 "age" "35 - 44" "n.oprs" "b3" 0 0 75.1 268
"female" 2018 "age" "35 - 44" "n.oprs" "b4" 0 0 413.1 1475
"female" 2018 "age" "35 - 44" "n.oprs" "b5" 0 0 30 107
"female" 2018 "age" "35 - 44" "n.oprs" "b6" 0 0 32.2 115
"female" 2018 "age" "35 - 44" "n.oprs" "b7" 0 0 38.1 136
"female" 2018 "age" "35 - 44" "n.oprs" "b8" 0 0 203.1 725
"female" 2018 "age" "35 - 44" "n.patients.opr" "b1" 0 0 105.3 376
"female" 2018 "age" "35 - 44" "n.patients.opr" "b2" 0 0 9.2 33
"female" 2018 "age" "35 - 44" "n.patients.opr" "b3" 0 0 55.2 197
"female" 2018 "age" "35 - 44" "n.patients.opr" "b4" 0 0 322.9 1153
"female" 2018 "age" "35 - 44" "n.patients.opr" "b5" 0 0 27.4 98
"female" 2018 "age" "35 - 44" "n.patients.opr" "b6" 0 0 31.4 112
"female" 2018 "age" "35 - 44" "n.patients.opr" "b7" 0 0 37.8 135
"female" 2018 "age" "35 - 44" "n.patients.opr" "b8" 0 0 175.3 626
"female" 2018 "age" "45 - 54" "n.dead1.opr" "b1" 0 0 NA NA
"female" 2018 "age" "45 - 54" "n.dead1.opr" "b2" 0 0 NA NA
"female" 2018 "age" "45 - 54" "n.dead1.opr" "b3" 0 0 NA NA
"female" 2018 "age" "45 - 54" "n.dead1.opr" "b4" 0 0 569.3 25
"female" 2018 "age" "45 - 54" "n.dead1.opr" "b5" 0 0 NA NA
"female" 2018 "age" "45 - 54" "n.dead1.opr" "b6" 0 0 NA NA
"female" 2018 "age" "45 - 54" "n.dead30.opr" "b1" 0 0 NA NA
"female" 2018 "age" "45 - 54" "n.dead30.opr" "b3" 0 0 NA NA
"female" 2018 "age" "45 - 54" "n.dead30.opr" "b4" 0 0 364.4 16
"female" 2018 "age" "45 - 54" "n.dead30.opr" "b6" 0 0 NA NA
"female" 2018 "age" "45 - 54" "n.oprs" "b1" 0 0 438.9 1776
