sex year aggr_level aggr_level_val event ht.code mov.avg age.std rate n.events
"female" 2004 "age" "18 - 34" "n.dead1.opr" "b1" 0 0 NA NA
"female" 2004 "age" "18 - 34" "n.dead1.opr" "b2" 0 0 NA NA
"female" 2004 "age" "18 - 34" "n.dead1.opr" "b3" 0 0 NA NA
"female" 2004 "age" "18 - 34" "n.dead1.opr" "b4" 0 0 NA NA
"female" 2004 "age" "18 - 34" "n.dead1.opr" "b5" 0 0 NA NA
"female" 2004 "age" "18 - 34" "n.dead1.opr" "b6" 0 0 NA NA
"female" 2004 "age" "18 - 34" "n.dead30.opr" "b1" 0 0 NA NA
"female" 2004 "age" "18 - 34" "n.dead30.opr" "b3" 0 0 NA NA
"female" 2004 "age" "18 - 34" "n.dead30.opr" "b4" 0 0 NA NA
"female" 2004 "age" "18 - 34" "n.dead30.opr" "b6" 0 0 NA NA
"female" 2004 "age" "18 - 34" "n.oprs" "b1" 0 0 2.2 12
"female" 2004 "age" "18 - 34" "n.oprs" "b2" 0 0 NA NA
"female" 2004 "age" "18 - 34" "n.oprs" "b3" 0 0 NA NA
"female" 2004 "age" "18 - 34" "n.oprs" "b4" 0 0 15.9 86
"female" 2004 "age" "18 - 34" "n.oprs" "b5" 0 0 3.3 18
"female" 2004 "age" "18 - 34" "n.oprs" "b6" 0 0 3 16
"female" 2004 "age" "18 - 34" "n.oprs" "b7" 0 0 NA NA
"female" 2004 "age" "18 - 34" "n.oprs" "b8" 0 0 16.5 89
"female" 2004 "age" "18 - 34" "n.patients.opr" "b1" 0 0 1.9 10
"female" 2004 "age" "18 - 34" "n.patients.opr" "b2" 0 0 NA NA
"female" 2004 "age" "18 - 34" "n.patients.opr" "b3" 0 0 NA NA
"female" 2004 "age" "18 - 34" "n.patients.opr" "b4" 0 0 15 81
"female" 2004 "age" "18 - 34" "n.patients.opr" "b5" 0 0 3 16
"female" 2004 "age" "18 - 34" "n.patients.opr" "b6" 0 0 3 16
"female" 2004 "age" "18 - 34" "n.patients.opr" "b7" 0 0 NA NA
"female" 2004 "age" "18 - 34" "n.patients.opr" "b8" 0 0 15 81
"female" 2004 "age" "35 - 44" "n.dead1.opr" "b1" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.dead1.opr" "b2" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.dead1.opr" "b3" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.dead1.opr" "b4" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.dead1.opr" "b5" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.dead1.opr" "b6" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.dead30.opr" "b1" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.dead30.opr" "b3" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.dead30.opr" "b4" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.dead30.opr" "b6" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.oprs" "b1" 0 0 22.2 89
"female" 2004 "age" "35 - 44" "n.oprs" "b2" 0 0 3 12
"female" 2004 "age" "35 - 44" "n.oprs" "b3" 0 0 11.2 45
"female" 2004 "age" "35 - 44" "n.oprs" "b4" 0 0 94.7 379
"female" 2004 "age" "35 - 44" "n.oprs" "b5" 0 0 6.5 26
"female" 2004 "age" "35 - 44" "n.oprs" "b6" 0 0 3 12
"female" 2004 "age" "35 - 44" "n.oprs" "b7" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.oprs" "b8" 0 0 16.7 67
"female" 2004 "age" "35 - 44" "n.patients.opr" "b1" 0 0 20 80
"female" 2004 "age" "35 - 44" "n.patients.opr" "b2" 0 0 3 12
"female" 2004 "age" "35 - 44" "n.patients.opr" "b3" 0 0 9.2 37
"female" 2004 "age" "35 - 44" "n.patients.opr" "b4" 0 0 88.9 356
"female" 2004 "age" "35 - 44" "n.patients.opr" "b5" 0 0 5.7 23
"female" 2004 "age" "35 - 44" "n.patients.opr" "b6" 0 0 3 12
"female" 2004 "age" "35 - 44" "n.patients.opr" "b7" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.patients.opr" "b8" 0 0 16 64
"female" 2004 "age" "45 - 54" "n.dead1.opr" "b1" 0 0 NA NA
"female" 2004 "age" "45 - 54" "n.dead1.opr" "b2" 0 0 NA NA
